"✔Click to move selected players to the top","Player","forInfoClick  for player info popup","Team","PosPosition","CostPlayer's current price","MeritHow good the player is in terms of likelihood to score FPL points","FormOver/under-performance over the last 4 gameweeks compared to predicted points","Prob. ofAppear-ingProbability that the player will play at all in the next match","PtsRest OfSeasonPredicted FPL points for the rest of the season","ValueRest OfSeasonPlayer's value for the rest of the season (predicted points per million pounds excess cost)","PointsSo Far","OfficialChancePlayer's official chance of playing the next match","OfficialAvailability","SelectedBy %Percentage of managers owning this player","TransfersIn GWNumber of transfers in since the last transfer deadline","TransfersOut GWNumber of transfers out since the last transfer deadline","News"
"","Mukasa","","MCI","MID","4.4","1.24","1","0","0","0","2","0","Unavailable","0.0","0","0","has joined Leicester City on loan for the rest of the season."
"","Drakes-Thomas","","CRY","MID","4.5","1.17","1","0.01","0","0","2","100","Available","0.0","0","0",""
"","Lascelles","","NEW","DEF","4.3","2.43","1","0","0","0","1","0","Unavailable","0.0","0","0","has joined Leicester City permanently."
"","Masuaku","","SUN","DEF","3.9","1.74","1","0","0","0","1","0","Unavailable","0.5","0","0","has joined RC Lens on loan for the rest of the season."
"","Gunn","","NFO","GK","4","2.46","1","0.02","0","0","1","100","Available","1.1","0","0",""
"","Roberts","","SUN","MID","5.4","2.59","1","0","0","0","1","0","Unavailable","0.0","0","0","has joined Birmingham City permanently."
"","Édouard","","CRY","FWD","5","1.66","1","0","0","0","1","0","Unavailable","0.2","0","0","has joined RC Lens permanently."
"","Kalajdžić","","WOL","FWD","4.9","1.63","1","0","0","0","1","0","Unavailable","0.0","0","0","has joined LASK on loan for the rest of the season."
"","Peart-Harris","","BRE","MID","4.4","1.34","1","0","0","0","1","0","Unavailable","0.0","0","0","has joined Oxford United permanently."
"","Earthy","","WHU","MID","4.5","1.46","1","0","0","0","1","0","Unavailable","0.0","0","0","has joined Bristol City on loan for the rest of the season."
"","D.Essugo","","CHE","MID","4.3","0.82","1","0.44","0","0","1","100","Available","0.1","0","0",""
"","Rowswell","","TOT","DEF","4","1.78","1","0.04","0","0","1","100","Available","0.0","0","0",""
"","Olusesi","","TOT","MID","4.3","1.4","1","0.04","0","0","1","100","Available","0.2","0","0",""
"","Valdimarsson","","BRE","GK","3.8","2.75","1","0.08","0","0","1","100","Available","1.0","0","0",""
"","Jota","","NFO","MID","5.4","1.68","1","0","0","0","1","0","Unavailable","0.0","0","0","has joined Besiktas on loan for the rest of the season."
"","Rodney","","CRY","MID","4.4","1.36","1","0","0","0","1","100","Available","0.1","0","0",""
"","Milambo","","BRE","MID","5.2","2.44","1","0.01","0","0","1","0","Injured","0.0","0","0","Knee injury - Expected back 01 Jun"
"","Fredricson","","MUN","DEF","3.7","1.96","1","0","0","0","1","100","Available","0.2","0","0",""
"","Banel","","BUR","MID","4.5","1.23","1","0","0","0","1","0","Unavailable","0.0","0","0","has joined Derby County on loan for the rest of the season."
"","Oriola","","BHA","MID","4.5","1.17","1","0","0","0","1","100","Available","0.0","0","0",""
"","Jimoh-Aloba","","AVL","MID","4.5","1.41","1","0","0","0","1","0","Unavailable","0.1","0","0","has joined West Brom on loan for the rest of the season."
"","Mheuka","","CHE","FWD","4.5","1.02","1","0.23","0","0","1","100","Available","0.0","0","0",""
"","Knight","","BHA","MID","4.4","1.31","1","0","0","0","1","0","Unavailable","0.1","0","0","has joined Stevenage permanently."
"","Bendito Mantato","","MUN","MID","4.5","1.23","1","0","0","0","1","100","Available","0.0","0","0",""
"","Furo","","BRE","FWD","4.5","0.94","1","0.17","0","0","1","100","Available","0.0","0","0",""
"","Neave","","NEW","FWD","4.3","1.11","1","0","0","0","1","100","Available","0.3","0","0",""
"","Winterburn","","BOU","MID","4.5","1.21","1","0","0","0","1","0","Unavailable","0.0","0","0","has joined Barnet on loan for the rest of the season."
"","Derry","","CHE","MID","4.5","1.31","1","0.41","0","0","1","100","Available","0.0","0","0",""
"","Byfield","","TOT","DEF","4","1.71","1","0.01","0","0","1","100","Available","0.0","0","0",""
"","Burrowes","","AVL","MID","4.3","1.23","1","0","0","0","1","100","Available","0.1","0","0",""
"","Abbey","","WOL","MID","4.5","1.25","1","0.01","0","0","1","100","Available","0.0","0","0",""
"","Jocelin.T","","SUN","MID","4.9","2.04","1","0.24","0","0","1","100","Available","0.0","0","0",""
"","Ruddy","","NEW","GK","4","3.02","1","0.02","0","0","0","100","Available","0.0","0","0",""
"","Heaton","","MUN","GK","3.8","3.02","1","0.02","0","0","0","100","Available","0.6","0","0",""
"","Fabianski","","WHU","GK","4.5","2.94","1","0.02","0","0","0","100","Available","0.0","0","0",""
"","Forster","","BOU","GK","4","2.81","1","0.02","0","0","0","100","Available","0.0","0","0",""
"","Steele","","BHA","GK","4.2","3.43","1","0.08","0","0","0","100","Available","0.2","0","0",""
"","Hladký","","BUR","GK","3.9","2.84","1","0.02","0","0","0","100","Available","0.1","0","0",""
"","Gündoğan","","MCI","MID","6.3","3.35","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Galatasaray permanently."
"","Neto","","BOU","GK","4.5","3.43","1","0","0","0","0","0","Unavailable","0.1","0","0","Has joined Botafogo permanently."
"","Moore","","SUN","GK","3.9","2.84","1","0.02","0","0","0","100","Available","0.3","0","0",""
"","Gillespie","","NEW","GK","3.9","2.84","1","0.02","0","0","0","100","Available","0.1","0","0",""
"","Foderingham","","WHU","GK","4","2.95","1","0","0","0","0","0","Unavailable","0.2","0","0","has joined Aris Limassol permanently."
"","Son","","TOT","MID","8.5","3.7","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Los Angeles FC permanently."
"","Lecomte","","FUL","GK","3.9","2.84","1","0.08","0","0","0","100","Available","0.7","0","0",""
"","Boly","","NFO","DEF","3.8","2.02","1","0","0","0","0","0","Injured","0.3","0","0","Knee injury - Unknown return date"
"","Cairns","","LEE","GK","3.9","2.84","1","0.02","0","0","0","100","Available","0.1","0","0",""
"","Alex Moreno","","AVL","DEF","4","2.3","1","0","0","0","0","0","Unavailable","1.5","0","0","Has joined Girona permanently."
"","Bamford","","LEE","FWD","4.9","1.84","1","0","0","0","0","0","Unavailable","0.3","0","0","has departed the club as a free agent."
"","Emerson","","WHU","DEF","4.4","2.71","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Marseille permanently."
"","Webster","","BHA","DEF","4.4","2.68","1","0","0","0","0","0","Injured","0.0","0","0","Knee injury - Unknown return date"
"","Odysseas","","NEW","GK","4","3.02","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Sevilla on loan for the rest of the season."
"","Krafth","","NEW","DEF","4.3","1.38","1","0","0","0","0","0","Injured","0.0","0","0","Knee injury - Unknown return date"
"","Ederson M.","","MCI","GK","5.3","3.44","1","0","0","0","0","0","Unavailable","0.8","0","0","has joined Fenerbache permanently."
"","Bettinelli","","MCI","GK","3.8","3.02","1","0.02","0","0","0","100","Available","0.4","0","0",""
"","King","","EVE","GK","3.9","2.83","1","0.02","0","0","0","100","Available","1.2","0","0",""
"","Cornet","","WHU","MID","4.9","2.31","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Genoa on loan for the rest of the season."
"","Dendoncker","","AVL","MID","4.5","1.32","1","0","0","0","0","0","Unavailable","0.1","0","0","Has joined Real Oviedo permanently."
"","Hayden","","NEW","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","Has departed the club as a free agent."
"","Phillips","","MCI","MID","4.7","1.97","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Sheffield United on loan for the rest of the season."
"","Holding","","CRY","DEF","4","2.17","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Colorado Rapids permanently."
"","Andreas","","FUL","MID","5.3","3.02","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Palmeiras permanently."
"","Philip","","BOU","MID","4.9","2.19","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Midtjylland permanently."
"","Targett","","NEW","DEF","4","2.11","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Middlesbrough on loan for the rest of the season."
"","Matthews","","CRY","GK","3.9","3.02","1","0.02","0","0","0","100","Available","0.1","0","0",""
"","Browne","","SUN","MID","4.5","1.31","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Middlesbrough on loan for the rest of the season."
"","Rashford","","MUN","MID","7","3.66","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Barcelona on loan for the rest of the season"
"","Guedes","","WOL","MID","5.5","2.47","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Real Sociedad permanently."
"","Benson","","BUR","MID","5.4","2.66","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Maccabi Haifa permanently."
"","Roberts","","BUR","DEF","4.3","2.68","1","0.49","0","0","0","100","Available","0.0","0","0",""
"","Onana","","MUN","GK","4.9","3.52","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Trabzonspor on loan for the rest of the season."
"","Estupiñan","","BHA","DEF","4.5","3.1","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined AC Milan permanently"
"","O.Richards","","NFO","DEF","4.5","2.79","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Rio Ave on loan for the rest of the season."
"","McGill","","BHA","GK","3.9","2.84","1","0.02","0","0","0","100","Available","0.3","0","0",""
"","Akanji","","MCI","DEF","5.4","3.15","1","0","0","0","0","0","Unavailable","0.3","0","0","has joined Inter Milan on loan for the rest of the season."
"","Nkunku","","CHE","MID","5.9","2.46","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined AC Milan permanently."
"","Álvarez","","WHU","MID","4.9","1.97","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Fenerbahçe on loan for the rest of the season."
"","Tsimikas","","LIV","DEF","4.8","3.07","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined AS Roma on loan for the rest of the season."
"","Austin","","TOT","GK","3.9","3.01","1","0.02","0","0","0","100","Available","0.3","0","0",""
"","Poveda","","SUN","MID","4.7","2.18","1","0","0","0","0","100","Available","0.0","0","0",""
"","R.Williams","","LIV","DEF","3.7","2.03","1","0","0","0","0","100","Available","0.5","0","0",""
"","Obafemi","","BUR","FWD","4.4","1.03","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Blackpool on loan for the rest of the season."
"","Alese","","SUN","DEF","4","2.07","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Portsmouth on loan for the rest of the season."
"","Maghoma","","BRE","MID","4.5","1.28","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Norwich City permanently."
"","Mepham","","BOU","DEF","4","2.12","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined West Bromwich Albion permanently."
"","Turner","","NFO","GK","4","3.02","1","0","0","0","0","0","Unavailable","0.1","0","0","Has joined Lyon permanently."
"","Sinisterra","","BOU","MID","5","2.22","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Cruzeiro on loan for the rest of the season."
"","Roerslev","","BRE","DEF","4.5","2.64","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Southampton permanently."
"","Travers","","EVE","GK","4.2","3.24","1","0.08","0","0","0","100","Available","0.1","0","0",""
"","Jenson Jones","","SUN","DEF","4","2.02","1","0","0","0","0","100","Available","0.0","0","0",""
"","Patterson","","SUN","GK","4.2","3.18","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Millwall on loan for the rest of the season."
"","Lamptey","","BHA","DEF","4.4","2.67","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Fiorentina permanently."
"","Anderson","","SUN","DEF","3.8","2.02","1","0","0","0","0","0","Unavailable","0.3","0","0","has joined Barrow FC permanently."
"","Balcombe","","BRE","GK","3.9","2.84","1","0.02","0","0","0","100","Available","0.2","0","0",""
"","Solomon","","TOT","MID","5.4","2.79","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Fiorentina on loan for the rest of the season."
"","Hodge","","WOL","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","Signed by CD Tondela"
"","Scherpen","","BHA","GK","4","3.02","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Union SG permanently"
"","Jordan","","BUR","DEF","3.9","2.06","1","0.01","0","0","0","0","Injured","0.1","0","0","Hamstring injury - Expected back 01 Jun"
"","O'Brien","","NFO","MID","5","2.36","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Wrexham permanently."
"","Luis Díaz","","LIV","MID","8","4.76","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Bayern Munch permanently."
"","Delcroix","","BUR","DEF","3.8","2.02","1","0","0","0","0","0","Unavailable","0.2","0","0","has joined Lugano permanently."
"","Greenwood","","LEE","MID","4.9","2.29","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Pogon Szczecin permanently."
"","Churlinov","","BUR","MID","4.9","2.3","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Kocaelispor  permanently."
"","Benda","","FUL","GK","4","3.02","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Feyenoord on loan for the rest of the season."
"","Ramazani","","LEE","MID","4.9","2.29","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Valencia on loan for the rest of the season."
"","Bryan","","TOT","MID","4.9","2.26","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Girona permanently."
"","Mandas","","BOU","GK","4","2.84","1","0.08","0","0","0","100","Available","0.0","0","0",""
"","J.Araujo","","BOU","DEF","3.8","1.95","1","0","0","0","0","0","Unavailable","0.5","0","0","has joined Celtic on loan for the rest of the season."
"","Meslier","","LEE","GK","4.1","3.18","1","0.02","0","0","0","100","Available","0.3","0","0",""
"","Sambi","","ARS","MID","4.5","1.31","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Hamburger permanently."
"","Fábio Vieira","","ARS","MID","5.4","2.79","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Hamburger on loan for the rest of the season."
"","Doucouré","","CRY","MID","4.9","2.15","1","0.01","0","0","0","0","Injured","0.0","0","0","Lack of match fitness - Expected back 01 Jun"
"","Cashin","","BHA","DEF","4","2.17","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Blackburn Rovers on loan for the rest of the season."
"","Morton","","LIV","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Lyon permanently."
"","Kiwior","","ARS","DEF","5.4","3.42","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Porto on loan for the rest of the season."
"","Rusyn","","SUN","FWD","4.4","1.03","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Arka on loan for the rest of the season."
"","Ashby","","NEW","DEF","3.9","2.03","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Bradford City on loan for the rest of the season."
"","Sarmiento","","BHA","MID","4.9","2.33","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Middlesbrough on loan for the rest of the season."
"","Faivre","","BOU","MID","4.5","1.31","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Auxerre permanently."
"","Dennis","","BOU","GK","4","3.02","1","0","0","0","0","0","Unavailable","0.7","0","0","has joined Leyton Orient on loan for the rest of the season."
"","Kulusevski","","TOT","MID","6.4","2.93","1","0","0","0","0","0","Injured","0.0","0","0","Knee injury - Unknown return date"
"","Darwin","","LIV","FWD","6.5","2.02","1","0","0","0","0","0","Unavailable","0.1","0","0","Has joined Al-Hilal permanently."
"","Tyrer","","EVE","GK","3.9","2.84","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Cardiff City permanently."
"","A.Ramsey","","BUR","MID","4.4","1.31","1","0","0","0","0","0","Unavailable","1.4","0","0","has joined Leicester City on loan for the rest of the season."
"","Fábio Silva","","WOL","FWD","4.9","1.84","1","0","0","0","0","0","Unavailable","0.2","0","0","has joined Borussia Dortmund permanently."
"","Sambo","","BUR","DEF","4","2.15","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Sparta Rotterdam on loan for the rest of the season."
"","Ebiowei","","CRY","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Blackpool permanently."
"","J.Rak-Sakyi","","CRY","MID","4.4","1.29","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Stoke City on loan for the rest of the season."
"","David Carmo","","NFO","DEF","4.5","2.76","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Real Oviedo on loan for the rest of the season."
"","Ekwah","","SUN","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined AS Saint-Etienne permanently."
"","Dobbin","","AVL","MID","5","2.34","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Preston North End on loan for the rest of the season."
"","Onyango","","EVE","MID","4.5","1.31","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Stockport County on loan for the rest of the season."
"","White","","NEW","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Bradford City on loan for the rest of the season."
"","Mee","","MUN","GK","3.9","3.02","1","0.02","0","0","0","100","Available","0.1","0","0",""
"","Dodgson","","BUR","DEF","4","2.17","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Stockport County on loan for the rest of the season."
"","Marschall","","AVL","GK","4","3.02","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Stevenage permanently."
"","Gauci","","AVL","GK","4","3.02","1","0","0","0","0","0","Unavailable","0.1","0","0","Has joined Port Vale on loan for the rest of the season."
"","Gelhardt","","LEE","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Hull City on loan for the rest of the season."
"","Hein","","ARS","GK","4","3.02","1","0","0","0","0","0","Unavailable","0.2","0","0","Has joined Werder Bremen on loan for the rest of the season."
"","Pembele","","SUN","DEF","3.9","2.02","1","0","0","0","0","0","Unavailable","0.3","0","0","has joined Le Havre AC on loan for the rest of the season."
"","Mudryk","","CHE","MID","4.9","2.31","1","0.07","0","0","0","0","Suspended","0.0","0","0","Suspended - unknown return date"
"","Ahamada","","CRY","MID","4.3","1.27","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined AJ Auxerre permanently."
"","Antony","","MUN","MID","5.9","2.69","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Real Betis permanently."
"","Iling Jr","","AVL","MID","5.5","2.78","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Pisa on loan for the rest of the season."
"","Gyabi","","LEE","MID","4.5","1.31","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Hull City permanently."
"","Slonina","","CHE","GK","3.8","2.84","1","0.02","0","0","0","100","Available","0.1","0","0",""
"","Rushworth","","BHA","GK","4","3.02","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Coventry City on loan for the rest of the season."
"","Enciso","","BHA","MID","5.4","2.88","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Strasbourg permanently."
"","Welch","","EVE","DEF","3.8","2.03","1","0","0","0","0","100","Available","0.1","0","0",""
"","C.Miguel","","NFO","GK","4","2.99","1","0","0","0","0","0","Unavailable","0.1","0","0","Has joined Palmeiras permanently."
"","B.Traore","","WOL","MID","5","2.34","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined FC Metz on loan for the rest of the season."
"","Hjelde","","SUN","DEF","4","2.08","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Sheffield United on loan for the rest of the season."
"","Zabarnyi","","BOU","DEF","5","3.32","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Paris Saint-Germain permanently."
"","Ba","","SUN","MID","4.3","1.26","1","0","0","0","0","100","Available","0.3","0","0",""
"","Wright","","AVL","GK","3.9","2.84","1","0.02","0","0","0","100","Available","0.6","0","0",""
"","Hegyi","","WHU","GK","3.9","2.84","1","0","0","0","0","0","Unavailable","0.2","0","0","has joined MTK Budapest on loan for the rest of the season."
"","Ferguson","","BHA","FWD","5.5","1.68","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined AS Roma on loan for the rest of the season"
"","Koleosho","","BUR","MID","5","2.34","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Paris FC on loan for the rest of the season."
"","Green","","BUR","GK","4","2.95","1","0","0","0","0","0","Unavailable","0.2","0","0","has joined FC Fredericia permanently."
"","Ramsay","","LIV","DEF","3.7","2.02","1","0","0","0","0","100","Available","0.3","0","0",""
"","Nna Noukeu","","SUN","GK","3.9","2.84","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined US Boulogne CO permanently."
"","Collyer","","MUN","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Hull City on loan for the rest of the season."
"","Y.Chermiti","","EVE","FWD","4.9","1.76","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Rangers permanently."
"","Barrenechea","","AVL","MID","5","2.05","1","0","0","0","0","0","Unavailable","0.0","0","0","Season-long loan to Benfica"
"","Brooks","","WOL","GK","4","2.89","1","0.02","0","0","0","100","Available","0.0","0","0",""
"","McConnell","","LIV","MID","4.4","1.32","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Ajax on loan for the rest of the season."
"","Metcalfe","","EVE","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Bradford City permanently."
"","Campbell","","EVE","DEF","3.9","2.02","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Port Vale on loan for the rest of the season."
"","Huggins","","SUN","DEF","4","2.11","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Wycombe Wanderers on loan for the rest of the season."
"","Schmidt","","LEE","DEF","4","2.11","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Werder Bremen on loan for the rest of the season."
"","Matete","","SUN","MID","4.3","1.26","1","0","0","0","0","0","Unavailable","0.2","0","0","has joined MK Dons permanently."
"","Shield","","BRE","DEF","4","2.02","1","0.02","0","0","0","100","Available","0.0","0","0",""
"","Paulsen","","BOU","GK","4","3.02","1","0","0","0","0","0","Unavailable","0.1","0","0","Has joined Lechia Gdansk on loan for the rest of the season."
"","Stamenic","","NFO","MID","4.5","1.32","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Swansea City permanently."
"","Dixon","","EVE","DEF","3.8","2.08","1","0","0","0","0","0","Unavailable","0.2","0","0","has joined Stockport County on loan for the rest of the season."
"","Heath","","EVE","MID","4.5","1.32","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Accrington on loan for the rest of the season."
"","Højlund","","MUN","FWD","6.3","2.66","1","0","0","0","0","0","Unavailable","0.3","0","0","has joined Napoli on loan for the rest of the season."
"","Nichols","","ARS","DEF","3.7","2.08","1","0","0","0","0","100","Available","0.2","0","0",""
"","Aznou","","EVE","DEF","4.2","2.64","1","0","0","0","0","100","Available","0.1","0","0",""
"","Meghoma","","BRE","DEF","4","2.16","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Rangers on loan for the rest of the season."
"","Moore","","TOT","MID","5","2.35","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Rangers on loan for the rest of the season."
"","Sharman-Lowe","","CHE","GK","4","2.84","1","0.02","0","0","0","100","Available","0.0","0","0",""
"","Danns","","LIV","FWD","4.3","1.01","1","0","0","0","0","0","Injured","0.1","0","0","Hamstring injury - Unknown return date"
"","Triantis","","SUN","MID","4.4","1.29","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Minnesota United permanently."
"","Imray","","CRY","DEF","4","2.12","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined West Brom on loan for the rest of the season."
"","Cox","","BRE","GK","3.9","2.84","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Shrewsbury Town on loan for the rest of the season."
"","Ebere","","EVE","MID","4.4","1.31","1","0","0","0","0","100","Available","0.0","0","0",""
"","McNally","","FUL","GK","4","2.84","1","0.02","0","0","0","100","Available","0.0","0","0",""
"","Moran","","BHA","MID","4.5","1.32","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Los Angeles FC on loan for the rest of the season."
"","Sousa","","AVL","DEF","3.8","2.02","1","0","0","0","0","0","Unavailable","0.2","0","0","has joined Rotherham on loan for the rest of the season."
"","Ojinnaka","","WOL","MID","4.5","1.28","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Shrewsbury Town on loan for the rest of the season."
"","Johnson","","SUN","DEF","3.8","2.02","1","0","0","0","0","0","Unavailable","0.2","0","0","has joined York City on loan for the rest of the season."
"","Harris","","FUL","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Oxford United on loan for the rest of the season."
"","Sima","","BHA","MID","5.4","2.72","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Lens permanently."
"","Gray","","MCI","MID","4.5","1.26","1","0","0","0","0","100","Available","0.0","0","0",""
"","Hollingshead","","AVL","GK","4","2.84","1","0.02","0","0","0","100","Available","0.0","0","0",""
"","N.Jackson","","CHE","FWD","6.5","2.55","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Bayern Munich on loan for the rest of the season."
"","Pond","","WOL","DEF","3.9","2.07","1","0","0","0","0","0","Unavailable","0.9","0","0","has joined Crewe Alexandra on loan for the rest of the season."
"","Merrick","","CHE","GK","4","2.84","1","0.02","0","0","0","100","Available","0.0","0","0",""
"","Casey","","WHU","DEF","4","2.17","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Leyton Orient on loan for the rest of the season."
"","Orford","","WHU","MID","4.4","1.33","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Stevenage on loan for the rest of the season."
"","Bevan","","BOU","DEF","3.8","2.02","1","0","0","0","0","100","Available","0.2","0","0",""
"","Lucky","","LIV","DEF","4","2.02","1","0","0","0","0","100","Available","0.0","0","0",""
"","Silcott-Duberry","","BOU","MID","4.4","1.32","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Olympiakos permanently."
"","Fraser","","WOL","FWD","4.2","1.01","1","0","0","0","0","100","Available","1.7","0","0",""
"","Ozoh","","CRY","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Derby County on loan for the rest of the season."
"","Morgan","","BRE","FWD","4.4","1.03","1","0","0","0","0","0","Unavailable","0.3","0","0","has joined Shrewsbury on loan for the rest of the season."
"","Patterson","","AVL","DEF","3.9","2.02","1","0","0","0","0","100","Available","0.2","0","0",""
"","Eyestone","","BRE","GK","3.9","3.02","1","0.02","0","0","0","100","Available","0.1","0","0",""
"","Bajcetic","","LIV","MID","4.2","1.29","1","0","0","0","0","0","Injured","0.2","0","0","Hamstring injury - Unknown return date"
"","Crew","","LEE","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Doncaster Rovers on loan for the rest of the season."
"","Kyerematen","","TOT","MID","4.5","1.26","1","0.01","0","0","0","100","Available","0.0","0","0",""
"","Sherif","","EVE","FWD","4.4","1.04","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Port Vale on loan for the rest of the season."
"","M.França","","CRY","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined CR Vasco da Gama on loan for the rest of the season."
"","Young","","AVL","MID","4.3","1.31","1","0","0","0","0","0","Unavailable","0.5","0","0","has joined Reading on loan for the rest of the season."
"","Akinmboni","","BOU","DEF","3.8","2.08","1","0","0","0","0","100","Available","0.2","0","0",""
"","H.Jones","","SUN","MID","4.3","1.26","1","0","0","0","0","100","Available","0.1","0","0",""
"","Owen","","BRE","MID","4.5","1.28","1","0.05","0","0","0","100","Available","0.0","0","0",""
"","Tasker","","BHA","DEF","3.8","2.08","1","0","0","0","0","100","Available","0.2","0","0",""
"","Bates","","EVE","MID","4.3","1.31","1","0","0","0","0","100","Available","0.1","0","0",""
"","Phillips","","TOT","DEF","4","2.17","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Stoke City on loan for the rest of the season."
